date;temperature
25.04.2025;11.98053
26.04.2025;13.273446
27.04.2025;14.943446
28.04.2025;16.947613
29.04.2025;18.101362
30.04.2025;18.752613
01.05.2025;20.543863
02.05.2025;21.605112
03.05.2025;22.313026
04.05.2025;14.855946
05.05.2025;9.650945
06.05.2025;11.399278
07.05.2025;11.757197
08.05.2025;12.474696
09.05.2025;12.835945
10.05.2025;15.352195
11.05.2025;17.300947
12.05.2025;14.998862
13.05.2025;15.603862
14.05.2025;17.89636
15.05.2025;16.75261
16.05.2025;13.048446
17.05.2025;14.648445
18.05.2025;16.360113
19.05.2025;17.903028
20.05.2025;17.406778
21.05.2025;15.910114
22.05.2025;13.560945
23.05.2025;12.823863
24.05.2025;14.268443
25.05.2025;17.759699
26.05.2025;16.756779
27.05.2025;17.390532
28.05.2025;17.900946
29.05.2025;18.108862
30.05.2025;21.866364
31.05.2025;24.968025
01.06.2025;24.142197
02.06.2025;19.609697
03.06.2025;18.35928
04.06.2025;18.510946
05.06.2025;17.825111
06.06.2025;19.963861
07.06.2025;18.511778
08.06.2025;16.161364
09.06.2025;17.629694
10.06.2025;20.626362
11.06.2025;21.420527
12.06.2025;23.45053
13.06.2025;27.600527
14.06.2025;28.212196
15.06.2025;23.768446
16.06.2025;19.082613
17.06.2025;20.845943
18.06.2025;22.708445
19.06.2025;24.80095
20.06.2025;23.350113
21.06.2025;24.00553
22.06.2025;27.091782
23.06.2025;25.770943
24.06.2025;23.767614
25.06.2025;27.37428
26.06.2025;24.061777
27.06.2025;24.293028
28.06.2025;26.673445
29.06.2025;28.261362
30.06.2025;28.14553
01.07.2025;29.385529
02.07.2025;28.588026
03.07.2025;25.399696
04.07.2025;24.023863
05.07.2025;24.26928
06.07.2025;22.23845
07.07.2025;17.127195
08.07.2025;14.663863
09.07.2025;17.524696
10.07.2025;20.246778
11.07.2025;21.773447
12.07.2025;22.242197
13.07.2025;23.547613
14.07.2025;24.378027
15.07.2025;23.267609
16.07.2025;21.044697
17.07.2025;21.351362
18.07.2025;23.496363
19.07.2025;23.274279
20.07.2025;23.643026
21.07.2025;20.147612
22.07.2025;20.114279
23.07.2025;21.681778
24.07.2025;17.762613
25.07.2025;18.76178
26.07.2025;19.575531
27.07.2025;18.553862
28.07.2025;16.391779
29.07.2025;18.297613
30.07.2025;18.363863
31.07.2025;20.813444
01.08.2025;19.579277
02.08.2025;17.051363
03.08.2025;17.905943
04.08.2025;21.688448
05.08.2025;23.14428
06.08.2025;19.582611
07.08.2025;22.226778
08.08.2025;25.89136
09.08.2025;27.74678
10.08.2025;24.931778
11.08.2025;23.595528
12.08.2025;27.523031
13.08.2025;29.910944
14.08.2025;28.720947
15.08.2025;28.810112
16.08.2025;25.977196
17.08.2025;22.315527
18.08.2025;21.167612
19.08.2025;24.064697
20.08.2025;21.323029
21.08.2025;17.064697
22.08.2025;18.118864
23.08.2025;17.798027
24.08.2025;18.315111
25.08.2025;19.290947
26.08.2025;22.610527
27.08.2025;23.00511
28.08.2025;18.810946
29.08.2025;17.933863
30.08.2025;16.874279
31.08.2025;19.281782
01.09.2025;18.25136
02.09.2025;16.490528
03.09.2025;19.455528
04.09.2025;20.108446
05.09.2025;16.965944
06.09.2025;17.081362
07.09.2025;19.593029
08.09.2025;19.727196
09.09.2025;18.705526
10.09.2025;16.954279
11.09.2025;17.113443
12.09.2025;16.20553
13.09.2025;16.515112
14.09.2025;18.074697
15.09.2025;20.610529
16.09.2025;16.93428
17.09.2025;17.387611
18.09.2025;20.535112
19.09.2025;21.57303
20.09.2025;23.711363
21.09.2025;19.571362
22.09.2025;13.089696
23.09.2025;11.307612
24.09.2025;10.490529
25.09.2025;11.436362
26.09.2025;11.488862
27.09.2025;12.890945
28.09.2025;13.555112
29.09.2025;14.515945
30.09.2025;14.652196
01.10.2025;13.246364
02.10.2025;9.607612
03.10.2025;11.039279
04.10.2025;15.845528
05.10.2025;10.400945
06.10.2025;11.60928
07.10.2025;14.68053
08.10.2025;13.578446
09.10.2025;14.733028
10.10.2025;13.062195
11.10.2025;12.425945
12.10.2025;12.293446
13.10.2025;11.87886
14.10.2025;12.174695
15.10.2025;11.389697
16.10.2025;10.788029
17.10.2025;10.578029
18.10.2025;10.013445
19.10.2025;12.371362
20.10.2025;14.6755295
21.10.2025;14.898862
22.10.2025;15.788445
23.10.2025;14.405948
24.10.2025;8.55803
25.10.2025;10.518028
26.10.2025;8.323029
27.10.2025;8.522196
28.10.2025;11.1617775
29.10.2025;11.923028
30.10.2025;13.155113
31.10.2025;11.698029
01.11.2025;14.85053
02.11.2025;11.978447
03.11.2025;9.950946
04.11.2025;9.472196
05.11.2025;9.860946
06.11.2025;9.203862
07.11.2025;10.278029
08.11.2025;9.822614
09.11.2025;10.83303
10.11.2025;9.825111
11.11.2025;11.175946
12.11.2025;10.566779
13.11.2025;11.572196
14.11.2025;11.132611
15.11.2025;14.313445
16.11.2025;11.003029
17.11.2025;7.484278
18.11.2025;2.0505288
19.11.2025;3.6409452
20.11.2025;3.4042785
21.11.2025;1.7534451
22.11.2025;-1.3348881
23.11.2025;1.3309453
24.11.2025;7.2701125
25.11.2025;5.505112
26.11.2025;3.6946952
27.11.2025;3.123862
28.11.2025;4.863029
29.11.2025;7.9901123
30.11.2025;6.104695
01.12.2025;3.7355282
02.12.2025;3.7009456
03.12.2025;6.252196
04.12.2025;6.0001125
05.12.2025;5.614695
06.12.2025;7.070112
07.12.2025;10.178863
08.12.2025;13.413861
09.12.2025;10.103863
10.12.2025;9.304279
11.12.2025;10.421779
12.12.2025;7.533028
13.12.2025;7.2976117
14.12.2025;5.6646953
15.12.2025;4.493028
16.12.2025;6.6917787
17.12.2025;9.686778
18.12.2025;7.397196
19.12.2025;6.5180287
20.12.2025;8.507195
21.12.2025;7.2992783
22.12.2025;4.9176126
23.12.2025;2.5617788
24.12.2025;0.75886196
25.12.2025;-0.044888053
26.12.2025;0.04427856
27.12.2025;0.30094528
28.12.2025;-0.4398881
29.12.2025;-0.43655458
30.12.2025;-0.48780477
31.12.2025;-1.7561378
